Geography Identifier,geography, average_household_size_all_races_2010, average_household_size_black_2010, average_household_size_asian_2010, average_household_size_two_or_more_races_2010, average_household_size_latino_2010, average_household_size_white_2010, average_household_size_all_races_2000, average_household_size_black_2000, average_household_size_asian_2000, average_household_size_two_or_more_races_2000, average_household_size_latino_2000, average_household_size_white_2000,
8001,"Adams County, Colorado",2.85,2.75,3.39,3.18,3.6,2.68,2.81,2.82,3.63,3.3,3.6,2.55,
8003,"Alamosa County, Colorado",2.45,2.31,2.78,2.31,2.69,2.39,2.56,2.91,2.43,2.89,2.8,2.39,
8005,"Arapahoe County, Colorado",2.53,2.61,2.98,2.89,3.39,2.42,2.53,2.57,3.04,2.79,3.36,2.42,
8007,"Archuleta County, Colorado",2.27,2.58,3.29,2.34,2.68,2.22,2.47,5.14,3,2.66,2.71,2.41,
8009,"Baca County, Colorado",2.2,2.89,1.5,2.06,2.66,2.18,2.33,1,1.67,3.25,3.16,2.28,
8011,"Bent County, Colorado",2.34,2,2.5,2.38,2.58,2.31,2.53,2.29,3.71,2.83,2.88,2.39,
8013,"Boulder County, Colorado",2.39,2.31,2.63,2.57,3.41,2.34,2.47,2.47,2.66,2.65,3.55,2.38,
8014,Broomfield County ,2.6,2.5,3.19,2.85,3.22,2.53,,,,,,,
8015,"Chaffee County, Colorado",2.15,1.88,2.46,2.62,2.45,2.14,2.26,1.86,2.13,2.53,2.47,2.24,
8017,"Cheyenne County, Colorado",2.28,11,2.67,1.75,3.4,2.24,2.5,4,0,2.25,3.75,2.44,
8019,"Clear Creek County, Colorado",2.14,2.1,2.19,2.14,2.2,2.13,2.31,1.67,2.18,2.21,2.82,2.3,
8021,"Conejos County, Colorado",2.64,2,2,2.5,2.56,2.64,2.8,2.75,2.6,2.78,2.75,2.87,
8023,"Costilla County, Colorado",2.27,2.3,2.14,2.17,2.45,2.17,2.44,2.25,2.29,2.56,2.55,2.23,
8025,"Crowley County, Colorado",2.41,1.5,1.75,2.84,2.84,2.37,2.59,1,1.71,2.69,2.94,2.53,
8027,"Custer County, Colorado",2.13,1.25,2,1.82,2.35,2.14,2.36,2,2,2.08,2.16,2.37,
8029,"Delta County, Colorado",2.38,3,2.85,2.69,3.18,2.32,2.43,3.33,2.04,2.44,3.18,2.37,
8031,"Denver County, Colorado",2.22,2.33,2.45,2.53,3.27,2.05,2.27,2.44,2.47,2.69,3.45,1.85,
8033,"Dolores County, Colorado",2.3,1.5,4,1.5,2.59,2.27,2.35,4,2.67,1.73,2.69,2.34,
8035,"Douglas County, Colorado",2.79,2.72,3.08,3.03,3.17,2.77,2.88,2.91,3.16,3.1,3.19,2.86,
8037,"Eagle County, Colorado",2.71,3.01,2.59,3.57,4.12,2.55,2.73,3,2.58,3.12,4.32,2.46,
8039,"Elbert County, Colorado",2.75,2.67,3.08,3.16,3.2,2.73,2.93,3.23,2.74,2.94,3.21,2.92,
8041,"El Paso County, Colorado",2.56,2.64,2.65,2.8,3.06,2.5,2.61,2.82,2.71,2.79,3.09,2.53,
8043,"Fremont County, Colorado",2.3,2.2,2.91,2.39,2.61,2.29,2.43,2.44,2.86,2.56,2.81,2.41,
8045,"Garfield County, Colorado",2.73,3.17,2.72,3.18,4.07,2.56,2.65,4.21,2.91,3.06,3.93,2.48,
8047,"Gilpin County, Colorado",2.19,1.73,2.2,2.34,2.59,2.19,2.32,1.6,2.67,2.44,2.53,2.31,
8049,"Grand County, Colorado",2.26,2.17,2.08,2.82,3.13,2.23,2.37,2.22,2.45,2.47,2.68,2.36,
8051,"Gunnison County, Colorado",2.22,2.18,2.47,2.28,2.9,2.19,2.3,2.52,2.36,2.46,2.89,2.28,
8053,"Hinsdale County, Colorado",2.17,0,2,2.17,3.2,2.17,2.2,0,2,1,1.75,2.19,
8055,"Huerfano County, Colorado",2.09,2.14,2.13,2.08,2.31,2.05,2.25,3,2.6,2.45,2.47,2.13,
8057,"Jackson County, Colorado",2.14,0,0,2,3.1,2.1,2.37,3,0,3,3.96,2.31,
8059,"Jefferson County, Colorado",2.42,2.48,2.94,2.69,2.95,2.37,2.52,2.61,3.14,2.75,3.01,2.46,
8061,"Kiowa County, Colorado",2.24,0,0,1.88,2.95,2.24,2.4,0,0,1.33,2.6,2.4,
8063,"Kit Carson County, Colorado",2.37,3,3,2.74,3.5,2.3,2.5,2.25,3,2.43,3.7,2.39,
8065,"Lake County, Colorado",2.43,2.54,2.38,2.84,3.37,2.29,2.59,1.67,2.2,2.96,3.54,2.24,
8067,"La Plata County, Colorado",2.35,2.26,2.62,2.54,2.77,2.31,2.43,2.11,2.29,2.56,2.8,2.37,
8069,"Larimer County, Colorado",2.42,2.58,2.63,2.69,3.11,2.39,2.52,2.61,2.6,2.67,3.14,2.47,
8071,"Las Animas County, Colorado",2.29,2.9,3.04,2.39,2.44,2.26,2.4,1.76,2,2.59,2.51,2.33,
8073,"Lincoln County, Colorado",2.28,2.77,1.5,2.58,3.34,2.26,2.44,2.86,2.67,2.89,3.54,2.4,
8075,"Logan County, Colorado",2.34,2.31,2.48,2.27,2.91,2.31,2.45,3.22,2.65,3.03,3.21,2.38,
8077,"Mesa County, Colorado",2.46,2.82,2.82,2.71,3.12,2.41,2.47,2.84,2.82,2.59,3.02,2.42,
8079,"Mineral County, Colorado",2.01,1,0,0,1.6,2.01,2.2,0,0,1.33,3,2.2,
8081,"Moffat County, Colorado",2.51,2,2.76,2.99,3.27,2.45,2.58,3.4,3.25,2.41,3.01,2.55,
8083,"Montezuma County, Colorado",2.4,2.5,2.59,2.58,2.87,2.29,2.54,2.56,3.17,2.56,2.9,2.44,
8085,"Montrose County, Colorado",2.47,2.6,2.86,3.01,3.43,2.37,2.52,3.32,2.86,2.9,3.28,2.42,
8087,"Morgan County, Colorado",2.68,3.81,2.69,3.23,3.65,2.51,2.8,3.47,2.5,3.29,3.98,2.47,
8089,"Otero County, Colorado",2.38,2.69,2.74,2.61,2.7,2.3,2.49,2.9,2.33,2.62,2.84,2.32,
8091,"Ouray County, Colorado",2.19,0,2.6,2.39,2.53,2.19,2.36,1,2.2,2.91,3.1,2.34,
8093,"Park County, Colorado",2.25,2.35,2.27,2.45,2.66,2.24,2.45,2.47,3.25,2.39,2.79,2.44,
8095,"Phillips County, Colorado",2.41,1.75,2.29,3.22,3.59,2.33,2.47,3.5,3,2.93,3.84,2.35,
8097,"Pitkin County, Colorado",2.09,1.97,2.12,2.26,2.98,2.07,2.14,2.46,2.4,2.22,3.27,2.09,
8099,"Prowers County, Colorado",2.48,2.56,2.18,2.81,3.09,2.37,2.67,2.4,2.3,3.04,3.44,2.42,
8101,"Pueblo County, Colorado",2.46,2.45,2.72,2.58,2.74,2.39,2.52,2.56,2.57,2.68,2.83,2.35,
8103,"Rio Blanco County, Colorado",2.43,2.13,2.63,2.91,3.21,2.4,2.5,2.5,2.25,2.39,2.89,2.48,
8105,"Rio Grande County, Colorado",2.47,1.7,2.83,2.52,2.71,2.41,2.59,3.67,2.71,2.78,2.98,2.37,
8107,"Routt County, Colorado",2.34,2.79,2.64,2.65,3.2,2.32,2.44,2.64,2.54,2.41,2.74,2.44,
8109,"Saguache County, Colorado",2.31,2.83,2.06,2.75,2.87,2.23,2.56,0,3.67,2.82,3.17,2.19,
8111,"San Juan County, Colorado",2.03,0,1.75,1.75,2.81,2.02,2.06,0,0,1.67,2.35,2.03,
8113,"San Miguel County, Colorado",2.13,2.43,2.28,2.32,2.77,2.1,2.18,2.3,2.73,1.44,2.79,2.15,
8115,"Sedgwick County, Colorado",2.14,1.67,1.64,2.38,2.7,2.12,2.31,1.86,2.18,2.7,2.91,2.25,
8117,"Summit County, Colorado",2.36,2.77,2.54,2.76,3.57,2.29,2.48,2.31,2.82,2.84,3.8,2.39,
8119,"Teller County, Colorado",2.37,2.34,2.62,2.5,2.84,2.36,2.56,2.86,2.94,2.41,2.84,2.55,
8121,"Washington County, Colorado",2.34,2,2.33,3,3.64,2.31,2.46,1.5,0,2.38,3.64,2.41,
8123,"Weld County, Colorado",2.76,2.96,2.86,3.1,3.55,2.66,2.78,2.8,2.47,3.21,3.72,2.55,
8125,"Yuma County, Colorado",2.49,2,2.4,2.62,3.71,2.39,2.55,1.33,1.25,3.45,4.06,2.43,
